,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
aha-1,-0.28849667547372143,0.04181017047285851,0.13300320428489815,-0.07775601804009745,0.04867050261902423,0.02684460781128981,0.06294155325074208,0.21464272743833127,0.13272483322955847,0.021067417733259278,0.08808878160497223,-0.1922426893358523,0.04996618250420591,0.04491665192627563,-0.0860720186410755,-0.18348933718459196
ahr-1,-0.05010456762313585,0.0990824427343934,0.2978564507212225,-0.22525290785432178,0.2961269631319181,-0.1819683259772431,-0.14759989132437137,0.36595157183265653,-0.04965571217694356,-0.20386724532393435,-0.15155703660773542,-0.08426118324637578,-0.12702171870423593,0.010887355098279263,0.03435058684202087,0.022771010092099347
atf-2,-0.2997205112491958,0.22213123153491718,0.8181270032427383,-0.27075423349371536,0.4803074266006452,-0.273797221560957,-0.299624194028993,0.04676649473666115,-0.09002920132469894,-0.2754786051945657,-0.13300429113246384,-0.15098236015257416,-0.10925220648273067,0.5228599336287525,-0.22698877913257995,-0.1499822157937022
atf-6,-0.39329900829658854,-0.5676841011772646,0.16785994251273192,-0.44688718672779376,0.23025882984195653,0.3870978032040521,0.14059238513666295,0.12243917381921773,0.6563046394486607,0.04028716269872923,0.3545877476925505,-0.4865955750858699,0.6006150555696167,0.41062538574110286,-0.4969501933659781,-0.5323772329297097
cdc-14,-0.37619168616760035,-0.6696909964133368,0.03345598205381351,-0.5635078284462678,-0.007161894425629742,0.6198296080907529,0.47841037235644396,-0.00953845568649652,0.6704745991310261,-0.2433417372389907,0.48924929067522166,-0.7174322087455755,0.5761821426873869,0.4043209094230235,-0.5412417989478213,-0.5596310141424372
ceh-1,0.14330716458370585,0.42399890989333516,-0.13024845966662169,0.24543057038270202,-0.4189711962463859,-0.23073875025771712,-0.021169214305100634,0.07306383099066112,-0.3351944776901665,0.09797219227534779,-0.07736745980551368,0.11038521626607084,-0.31550094424847147,-0.2964587474935102,0.14669629771903744,0.375339965519324
ceh-2,0.11963829725357265,0.4942845780968955,-0.15410486128482923,0.38106326984781436,-0.3671799466756205,-0.2208316081990428,-0.14401774356183653,0.0006621998602507929,-0.3793610560340299,0.1380970885383142,-0.25208737717023516,0.2839836301278258,-0.37222612453977677,-0.3219354039496273,0.22951076669484732,0.3976704284858574
ceh-5,-0.036675396001782296,0.26791820768283403,0.11073832250868883,0.09255164071644852,0.2731244420836968,-0.22578780176126603,-0.10109873363388983,0.4470690085047046,-0.2658327946708124,-0.08652442728855711,-0.2684275879085714,0.12884162864052814,-0.2505658473832747,-0.23143587099357,0.27041681385338845,0.2749178368699431
ceh-6,0.128496850241887,0.05267568819845501,-0.04339902869473588,-0.07176809574051621,-0.19147834506425085,-0.06208674892000368,0.09787469387961911,0.04610832098064422,-0.05695896910603881,-0.1930557494615544,0.12566180862803514,-0.09875226547597638,-0.04593356369467836,-0.03602679093245338,-0.10482298068310344,0.10367868951159145
ceh-8,0.027586283628136293,0.06623457272342742,-0.2508658985429084,0.16752022225570834,-0.20181582537162862,0.12206082529971064,-0.06537124101576153,-0.041691266014355306,0.03389770514657638,-0.057055148581172374,0.041699252029123605,0.04717746332568658,-0.03207472458197615,-0.2366526277716062,0.10196607821041498,0.05920562585574008
ceh-9,-0.19477377632789306,0.2238518173828749,0.01754863381440233,0.3109146276128632,0.22770193605811012,-0.012829218206906797,0.007426918652073611,0.07031218295311732,-0.22365992093358664,-0.05400210005818748,-0.13791383227021914,0.16016885340834458,-0.131770521553244,-0.1401984045155686,0.3269648047603949,0.02553353007240918
ceh-10,-0.13521185330415875,-0.09725433998339096,-0.2922708293043126,0.2242478037677002,-0.022299308151072457,0.3071838363984224,0.21963193365988065,-0.08161261902687256,0.01990172451465804,-0.0006394482201253146,0.07753476467174178,0.051187616711540526,0.052693847763925564,-0.1699829999461778,0.17115755800998572,-0.06724442629788
ceh-12,-0.11750281246086353,0.17681707656034043,0.16466126909087833,0.06707906352465567,0.13162148314011982,-0.1905866529423699,-0.18024231642353228,0.38411175311544377,-0.07212599673401984,-0.12698796771906046,-0.09259606893379906,-0.06247464969625097,-0.14894567684367932,-0.09201044419609267,0.09453300684485537,0.1177838361128196
ceh-13,-0.1362412161106425,-0.3253483440717356,0.00651862967801629,-0.3636927300128126,-0.15668635557298793,0.17331235831015387,0.23660429165071267,-0.0942628423036078,0.45134019370851275,0.011714095715346921,0.2327112768171997,-0.38474019447433266,0.3354672028948893,0.21053588243979168,-0.32910283804820734,-0.27254954109598484
ceh-14,0.08795510878145696,0.140232968249772,0.05222565344951415,-0.031476355530181695,-0.0681438876423587,-0.2208685399928997,0.06769964636478937,0.2958169537294642,-0.1588900806992297,-0.07162277375991746,-0.14634265439542835,-0.010916816444636053,-0.1891130229324342,-0.15163647717997347,0.020000585586950993,0.2419248541955167
ceh-16,-0.22453149137730466,-0.09064662729330367,0.19940244258705841,-0.012358108988648022,0.12307054507221686,0.022904259784847572,-0.08366862110019191,-0.14916415666042934,0.2047668260238194,0.22369260507991112,0.062976832309906,-0.1084306869847389,0.2741537594398305,0.36783769349385764,-0.3401769854747205,-0.27143728999840644
ceh-17,0.3708567456227546,0.18624382338300954,-0.08688058029006201,0.05000460923049976,-0.2691685851165257,-0.20589456018145003,-0.08535694372345928,-0.1505416188299271,-0.2459938677453661,-0.138753781739135,-0.17728465575855784,0.28385519475970034,-0.21351798925530263,-0.14735604176748318,0.10242163259071904,0.36218549788987586
ceh-18,0.4287422502360624,0.5982406337364401,-0.34531594413890365,0.6716954962896384,-0.1580152911169335,-0.368711042716412,-0.2933834603242506,0.09202034043394483,-0.6967764824641972,0.18982579122785692,-0.49116894680639,0.6983274307369856,-0.6505019038751014,-0.7460449998292799,0.7928946978159195,0.6456673883690941
ceh-19,0.0536857382530289,0.07149885000921914,0.08603255409542707,0.0035057083725277237,0.17052888002786948,-0.15367985271010348,-0.016265823251448687,0.37436551596686984,-0.11680272270524521,-0.2551443052833202,-0.1721240738233212,0.05876236166280068,-0.20532241887982347,-0.21230772290015407,0.1447448009024604,0.1203325488979982
ceh-20,-0.4944897807169776,-0.7126452961020169,0.31166204690604243,-0.6357626561528787,0.378266347395388,0.4260398237140312,0.37788324760595937,-0.23946692869529754,0.7496364174333757,0.10956374786453107,0.4303018214563968,-0.7217128980341079,0.7730691134734986,0.875779236351367,-0.7834772293898558,-0.8152342826500163
ceh-21,-0.4519616955543416,-0.6841432920414354,-0.14296162052966538,-0.3502118221278865,0.02689876220688941,0.6721208613204508,0.5231263776060635,-0.25915258606577807,0.7271974777666211,0.14758972447852578,0.5084871493377757,-0.540687983009989,0.674988825083916,0.3778197383346223,-0.45797697470791293,-0.654613886849275
ceh-22,-0.05253800197463412,0.3302171744337756,0.13419435337652513,0.2619815155784413,0.265899011014833,-0.12743308301500134,-0.20160360915058032,0.32511037691217487,-0.35973684617133284,-0.17443889242182523,-0.2698647796478454,0.3044167690737643,-0.36267134141942353,-0.3222312218602343,0.5068819489669323,0.20148483982934437
ceh-23,0.05355016284107167,0.1200818016862284,0.2502426788892165,-0.09802901510143547,0.14301470412194425,-0.19974975988971536,-0.3191764990295047,0.3241622191788216,-0.07470431707225941,-0.27299411706820875,0.20846480760167674,-0.038695561061490184,-0.1476229436555668,-0.07254946835900727,0.09346569133474271,0.1242689838812029
ceh-24,-0.03564299877295792,0.28990718492052775,-0.10107508601062441,0.3552364634711062,0.2667979498091232,-0.14469749017034883,-0.09776214803954358,0.23762592799173549,-0.30894876272207794,0.05882054990847627,-0.24190910565398666,0.18493589193844182,-0.29918039556329856,-0.36369016744506394,0.4626241438858203,0.17714816797136915
pros-1,0.3266499983957284,0.26092258355147196,-0.09711449227098685,0.2779845376741799,-0.08604141995814249,-0.29553364403612076,-0.27857976265573264,-0.007834952270913314,-0.3148063129629743,-0.026125736472547567,-0.5093466766153586,0.5189452363829051,-0.28655143231922164,-0.2662453295105344,0.31516188213515606,0.390440360631736
ceh-27,-0.07148165507454411,0.21890844502812207,-0.021487969063070246,0.2912931687084147,0.1795890084080657,-0.14899389009174213,-0.054173796792609134,0.24170753542568243,-0.19663781356902613,0.00809312673803704,-0.3010265297003104,0.28016632892684673,-0.16312366104100434,-0.2203484290447103,0.20352559436047715,0.2156174070718884
ceh-28,-0.046612414255112505,0.26326627440995715,-0.1954888884278404,0.4517428555905162,-0.11255079036160354,-0.005407349355200898,-0.08708443559099763,0.01679998456306392,-0.19900893163938818,-0.004327243496189008,-0.17625151122798227,0.3485912335692817,-0.24701373122422615,-0.3578990343660362,0.40909243565485326,0.10440097299596876
ceh-30,-0.04749697886878014,-0.09824125205557542,-0.13359661259072414,0.10220740946077525,-0.05578825782255171,0.13189855816609347,0.09995830667777614,-0.020713970250755123,0.09493653586408757,-0.12588592136367208,0.09309689193450947,0.10828141545806552,0.08306452015348638,-0.07610523414609385,-0.007817074743247329,-0.03446722234969878
ceh-31,0.3005641188392925,0.053066677030358125,-0.08066993324034627,-0.010670412177406701,-0.19343244057321257,-0.10242291839922177,-0.04428164826314674,-0.09760275919715172,-0.12752418797143847,-0.17974995217390302,-0.056158922200491415,0.20656374128191896,-0.11137771008276667,-0.08250944902515858,0.02320269336522813,0.21132645615339718
ceh-32,-0.16063174199706673,0.2922822320258466,-0.16225135806970775,0.42443456627076487,0.11248726487677382,-0.05150304045982354,0.012008540068540578,0.06706468146391105,-0.23499283939838034,0.013961423341856335,-0.26742058843251054,0.290551582521934,-0.23976439010559497,-0.32771291814446896,0.39619297216507227,0.21420048731630598
ceh-33,-0.10382391121570263,0.11311525534028646,-0.2735123214976889,0.5618844561186562,0.244533435741872,0.17160482648116548,0.017972341350003772,-0.08652179519602059,-0.20574024415895575,-0.04674773821614693,-0.1989746349698064,0.4332324947398998,-0.17781794472950696,-0.4116927413881964,0.5797103334594887,-0.03388645452028359
ceh-34,-0.2765708927311078,-0.09649117909772499,-0.18952496397859822,0.3799811998102403,0.1977094145210141,0.0647266393657083,-0.08576850178273943,0.024381000175929653,0.18488951280461038,0.5161572922914937,-0.13097308688459822,0.19013058015967046,0.28667737831427326,0.04854728269984168,-0.03350756070954962,-0.14318699644272345
ceh-36,0.009862772650167606,-0.013362761702254089,-0.041060569505709986,-0.09766968878161222,-0.21660622186327264,0.06836993863361968,-0.13273879634012287,0.16440853650186496,0.16382043508013175,-0.11761278526223298,0.11853536473060478,-0.1202482927318518,0.011479450186436788,-0.15263525876817693,-0.1044641221511103,0.06742921766721578
ceh-37,0.268526916934988,0.16659609112660675,0.12544236985681523,0.08904659412142162,0.19764508849060866,-0.26290598449833635,-0.1777130875036764,0.16062228756037672,-0.3334861365483036,-0.3330689290379271,-0.22487428002835197,0.25142245947844416,-0.27574608622676744,-0.19641557366569212,0.2657877130352873,0.2190382061300392
ceh-38,-0.34471897831296744,-0.8312189964485798,-0.05620045081503715,-0.5815257473722241,-0.05433639300814803,0.66592073352403,0.46062173727098754,-0.23746062376726546,0.8579563142050621,0.05618924698692207,0.71608936339598,-0.6425689770008035,0.8138201849870834,0.5327608304004344,-0.6892344504953876,-0.7459886814642775
ceh-39,-0.34272633221133436,-0.6058645295745858,0.1633310715568626,-0.4663940508791383,0.2048379877691125,0.456044927677463,0.20371583882466177,-0.10842432371930298,0.6436102082319095,-0.13389633231718798,0.3611461004656629,-0.5292933819187181,0.5700992142359252,0.4942055469081017,-0.4935796983913052,-0.5977734927599186
ceh-40,-0.1808059499754006,-0.5713838314435467,-0.24663141383847015,-0.27251044808139396,-0.2900692002028085,0.6135844669229933,0.3588689345624228,-0.053917803754342436,0.5116417245197918,0.00795999823656255,0.4557069137668845,-0.422200583946524,0.5054393992036498,0.11520728143351512,-0.30431384437240194,-0.3690475879492093
ceh-41,-0.5732240529624173,-0.7365221658602874,0.2480843932168919,-0.542691940048976,0.3078738906977667,0.5489205264867568,0.35617124613187945,-0.23202996086100372,0.8133522984585988,0.08951356645873404,0.4891025243060355,-0.6375101452750537,0.809811610043091,0.7682969759239959,-0.7041603305954706,-0.8385809310816638
ceh-44,-0.2698393631049106,-0.5408458100502617,-0.3242170597948739,-0.00021328545305658413,-0.05188286796399421,0.4333975624132213,0.23818274183034807,0.02452074398839688,0.584253221850425,0.21209092521173423,0.370760511897506,-0.1263402388808484,0.5808186324011484,0.047326732763837684,-0.17994019176185896,-0.33932482245546153
cep-1,-0.10990691563620456,-0.5756997473165046,-0.20251629285937298,-0.31013676641599164,-0.23490508245144567,0.5403814292232876,0.11406673807528327,-0.12714694928897485,0.6135812139402917,0.04551217198728688,0.36625869048181076,-0.33116932352991885,0.5191502904336414,0.15300812316462054,-0.3788363960941566,-0.348865102271218
ces-1,-0.09293927095490453,-0.19026589600513763,-0.21307060061843258,-0.04409898665353867,-0.26920647935054776,0.2959178354602784,0.06299730278736815,-0.008513920360429538,0.3124120113780963,0.054059215050379576,0.2437983911909854,-0.14850630039248228,0.20286047711936142,-0.06659878423079764,-0.1253597751433412,-0.11832409741729857
ces-2,-0.38702920430168475,-0.7062763269537047,0.023468942657558035,-0.5318925364433037,0.16644929352760685,0.50358886351195,0.6664234209939162,-0.4645240775007132,0.6720236614185475,0.21687513603191583,0.5565312130522414,-0.6494996786361372,0.7390241157276428,0.7469970768353268,-0.6991013506956314,-0.7905298223104297
cey-1,0.18893753840572797,0.5969490875293932,0.6249686041669322,-0.015935074621301736,0.5213380581824726,-0.7093533197789034,-0.5267321567164864,0.4811708914260164,-0.5998506496564512,-0.5090756850069592,-0.6053809560631462,0.24103443691331092,-0.6563058140229245,-0.1288299279874073,0.3664348092993648,0.45700644188370865
cey-2,-0.24301677374840744,-0.10923990563605153,0.37484248742602677,-0.2632483439454926,0.11279443987091524,0.16660705094545517,-0.11110592181517026,0.057038337222009,0.15951263243399216,-0.21310404698455634,0.021360528244172977,-0.2892168567869232,0.1085266461913004,0.2670156527142121,-0.20212153530656107,-0.2287132613761898
