,BWM_anterior,BWM_far_posterior,BWM_head_row_1,BWM_head_row_2,BWM_posterior
aha-1,"[-0.7706074460467184, -0.8203170439800287, -0.23554116659328037, -0.5083166076609512, -0.061718180935938075, 0.8751874456923552, 0.08764268281758819, -0.44232821731094296, 0.9187939925565373, 0.6078737093562188, 0.9048983388405248, -0.847014554857507, 0.8658723019679998, 0.4275721242959617, -0.6295584059823387, -0.8631234668347113]","[-0.3424113162206275, 0.29214269171226315, 0.6452676229519008, -0.579286272729404, 0.7308375577879944, -0.3103610858261807, -0.24307758289891235, 0.7490688607200418, -0.0813881461943321, -0.5207237528245842, -0.4004809027812754, -0.28104702944855936, -0.2359799354606819, 0.012185009115322727, -0.0476345888005469, -0.09799800270755624]","[-0.4573752624257059, -0.02267481023308296, 0.36981096878214836, -0.11319643533301837, -0.3151307490392091, 0.5517509599307866, -0.11522615011891708, -0.10642242668564801, 0.029745678295998584, 0.16379249211850633, -0.1429508836939206, 0.3028483578619109, 0.14127490322929936, 0.28225286177637443, -0.22204714826250138, -0.3436708146867735]","[-0.11420391705471727, 0.41880790891215036, 0.22674864657572757, 0.11831586682527143, -0.5187441904825405, -0.277641389634941, -0.6208468501915593, 0.3018380141472948, -0.32514590199265775, -0.6006513621797978, -0.16434212402051143, 0.05885986307981082, -0.3503327540813703, -0.08826959096298224, 0.2022151899104995, 0.05136979296263261]","[0.09889817765871466, 0.39946180139901927, -0.1244165334826179, 0.4054749950258847, -0.06938626890093808, -0.3594092515826538, 0.34797917306451875, -0.23970734708616317, -0.3588173556525188, 0.5094372632559869, -0.18037801125625164, 0.27243970668711553, -0.30175853075711034, -0.02660434148562027, 0.3026207321910954, 0.19846124068459955]"
ahr-1,"[0.580195180657967, 0.3340894684385436, 0.4658645921467384, -0.0008394199517280654, 0.2937290707854912, -0.6222139208229661, -0.34970252449673594, 0.8048334851026814, -0.4485194354081778, -0.4728067461577077, -0.5660625732040959, 0.21541461666358835, -0.5591673245583327, -0.2712697501585165, 0.36578193567846756, 0.46815219516230827]","[-0.1258421615358744, 0.30439762441025653, 0.3483611078732758, -0.33910941403679723, 0.4487390737159879, -0.32974935638040653, -0.296517336652808, 0.7787559389790513, -0.16082920889665359, -0.3518125832480701, -0.2458015602284861, 0.03714192294436844, -0.3345677312498165, -0.320600038859296, 0.423093727575954, 0.18450618791795767]","[0.43745130061988213, 0.34999640500920204, -0.2227081411102662, 0.2899245063161739, 0.3572212944453336, -0.5229162716516544, 0.3241763412856815, 0.13805871759942986, -0.3819561214978621, -0.471995226577746, -0.1589469837973024, 0.29088359144501014, -0.5015889911178757, -0.4346279659652319, 0.4936782425754421, 0.48356614437751955]","[0.24333811839076228, -0.35636374809812443, 0.27653659153551413, -0.5862187500714762, 0.09808303650907711, 0.3323465074203818, 0.46861594852858063, -0.5228956776937729, 0.3857056251028157, 0.2374279119459056, 0.46006729045092914, -0.44779367365767936, 0.5072463625104847, 0.5475724101039191, -0.4959923458830655, -0.5883933207208732]","[-0.5621942676069135, 0.10103773727926733, 0.7156612540605589, -0.4264657678867631, 0.6952620185217796, 0.05664555434325296, -0.022488360874841247, -0.36411946811650675, 0.09259627887882162, -0.1760089838216691, -0.01863948437704152, -0.2719020718759355, 0.10067048284342511, 0.7772820637815063, -0.43989891846348345, -0.37908257145808605]"
atf-2,"[-0.37236042542375564, 0.1455199455747948, 0.856121931919286, -0.25100777025136534, 0.7293053098543922, -0.4116905916561215, -0.22459991658876416, -0.16206851672421013, -0.17130070095763067, -0.33912593232351373, -0.39278398665410036, -0.0525869801833477, -0.13058055801231397, 0.6223076549571392, -0.04581251044124582, -0.13605426652393743]","[-0.4337774788510692, 0.4975162962813983, 0.928868577069194, -0.39224825421726695, 0.7330415592150494, -0.31768391426554055, -0.31934342707207775, 0.08952996413734109, -0.21048916020486552, -0.47076883617104787, -0.3251984942360674, -0.20396322491479307, -0.3042754948199953, 0.4902198743171488, -0.20481823054991508, -0.23878999250235047]","[-0.5778942133401849, -0.030533592958511782, 0.7708730436851531, -0.4967712878351478, -0.2118708235621693, -0.11330334585021948, -0.10332371018493684, 0.016918738420019463, 0.0017924624539040201, 0.1665389956067327, -0.023606074931268012, 0.06290214014240439, 0.14694842009350972, 0.5982730129140559, -0.391002013416524, -0.05678818522837252]","[-0.18185553174626967, -0.05768984657773802, 0.9004958046787276, -0.5246616547865017, -0.09687685578921673, -0.42015491570764224, -0.359071299303686, -0.03168080659523083, 0.16667717825991876, -0.35143071268387965, 0.20221540487986425, -0.500481037259873, 0.09212068394824141, 0.6807493233520864, -0.5703844092358037, -0.37420510218394265]","[-0.4310658472433766, 0.35304057163591457, 0.9605953587767617, -0.22026994108462997, 0.7850839376758878, -0.2583714960687429, -0.46831006418523585, 0.22519816248562005, -0.0855578174501661, -0.4419833742746063, -0.3661990973319095, -0.02381830792205039, -0.20311517262990786, 0.40199367507574396, -0.02766674465674536, -0.039001221839904315]"
atf-6,"[-0.0711038394026658, -0.8033347810922532, -0.4428657914673, -0.5500888795710225, -0.14939333337153088, 0.7146035595478906, 0.32672560554180385, -0.23968828677253384, 0.7648159067335867, 0.35073227826096387, 0.724612846858074, -0.5157956965445617, 0.7360278855061143, 0.1950509040732774, -0.6564042845016835, -0.4912402592591773]","[-0.7804060092685073, -0.15140991449427083, 0.5716063741146378, -0.6996857054930898, 0.758715371228936, 0.22907016078108355, 0.228636231424996, 0.6640962062038933, 0.4236429091949563, -0.47066242569464245, 0.2671195938602826, -0.5855846899650307, 0.24294103018504448, 0.2761656608195855, -0.2538725283125245, -0.5192790534685613]","[0.0165303186681231, -0.9356137064708222, 0.2629392537045472, -0.7153712321179552, -0.33243052902441983, -0.2647289568855614, -0.736528072550027, -0.19438629344947667, 0.9182348100059152, 0.8330498152508863, 0.974555730186538, -0.7887870112696325, 0.8853020488704675, 0.6747287337963, -0.7468988143603447, -0.6618309208582462]","[0.20921831866145624, -0.6744945423756008, 0.6812514304339192, -0.9403987648137448, 0.3393009604059961, 0.31581367192926807, 0.21383256791580998, -0.4321193349569692, 0.7629364236422569, 0.4215343619240468, 0.8110599867342381, -0.8903674538048834, 0.7510621167198611, 0.895426936606848, -0.9006052105135998, -0.8968094780495305]","[-0.500152855274383, -0.7189719416981529, -0.04968584192101182, -0.7030873729609305, 0.1461642380405381, 0.7514771380030459, 0.15096423569947948, -0.05515719148440669, 0.7199230024450947, -0.2054254003570976, 0.6419572205041397, -0.7647243045990296, 0.7184245429098136, 0.39431831031161874, -0.6079515512048637, -0.6869985125141093]"
cdc-14,"[-0.40702461069870827, -0.9098906513885566, -0.5024674929792883, -0.5596623717074927, -0.20941352948995545, 0.9296554816419853, 0.29844594418796944, -0.39954195711196316, 0.9443749180873827, 0.583786046685174, 0.9559316706339568, -0.7340410757104843, 0.907751213748392, 0.28378384768900494, -0.7165034622426932, -0.7297114507315517]","[-0.7414813965801759, -0.7152091290868419, 0.07957794669378161, -0.6341094466080953, 0.3448461708328143, 0.7587095803819008, 0.8447381954517323, 0.05572072014898771, 0.738951935873397, -0.3035986110975128, 0.818594073655177, -0.82463382125183, 0.7526762432843179, 0.6111950165351151, -0.7573153477197112, -0.8300549980424796]","[-0.13959355788227157, 0.21372493342568893, 0.39708229552818647, -0.06627123492148895, 0.2488282409786979, -0.30634898086478807, 0.2703994064190899, -0.0826010500129646, -0.31179533230801365, -0.16814311121618586, -0.14737917123863467, 0.4008592098028767, -0.24741937050847057, 0.03883651871629035, 0.16964366510746767, 0.047129596631926195]","[-0.5104066271649805, -0.30159276145651115, 0.4129134313067639, -0.4273755424222623, 0.7807132460674102, -0.15772841412072647, -0.058213721742115004, 0.46325687358672285, 0.35287470065575555, 0.449665172044873, 0.25531606642188204, -0.6867106523042981, 0.28886474172726073, 0.2199589629917633, -0.4662262746508796, -0.19441600885451477]","[-0.6092960478132562, -0.9349045514164689, -0.21825910332834603, -0.7049287025674515, -0.08509422958703713, 0.928515766087835, 0.42486615021451657, -0.1710403611728753, 0.9302850025701539, -0.19576699105979484, 0.6400100761498585, -0.8182217325665063, 0.9101013558749523, 0.42896523710693135, -0.6435195547976629, -0.7963406261389026]"
ceh-1,"[0.2265845209288001, 0.7431889382170539, -0.2635167806520529, 0.897736375654615, -0.551602601778044, -0.30530407732996795, -0.30349002211609705, 0.25272658048548396, -0.6150419196026502, 0.030243070644606074, -0.44505625000872995, 0.6422237505215862, -0.6612752269608297, -0.7152088290001644, 0.6322936390837564, 0.5769302641259884]",[],[],[],"[0.6558282634089982, 0.5179735591260959, -0.45957796000775364, 0.8971446831131109, -0.7001072195031475, -0.40347855645826153, -0.12763201072945649, -0.3162817582654321, -0.6269059365859206, 0.7610526935445341, -0.47565363035167285, 0.7663821631475205, -0.5066596751501091, -0.5879602953415863, 0.6819784418709748, 0.6164397956072084]"
ceh-2,"[0.15442800864827794, 0.6630208185402061, -0.36741059134263415, 0.875341167062175, -0.5685341208073302, -0.19860053899755434, -0.1718410197698445, 0.06916799128994368, -0.532888336954209, 0.20249318336803585, -0.3524065456444053, 0.5942920254504284, -0.5565852501301869, -0.6353036678599204, 0.46821418997242825, 0.47098397033992173]","[0.16547522800025233, 0.4915891489954134, 0.2324867607080862, 0.4791204761468888, -0.0913158565597243, -0.3338642658129508, -0.5271796942361688, -0.4030375414610486, -0.3572746462310312, 0.496084622492474, -0.449515304853904, 0.42812927784339627, -0.3699250644332179, 0.07569674428555401, 0.313029563159274, 0.25681674485414163]","[-0.42282734989117104, 0.20465467496271494, 0.4446849020529759, -0.12223647833771972, -0.11091390703746826, 0.1705154683986872, 0.18714530299145404, -0.18766114420175825, -0.23035307385054463, 0.02175024744123654, -0.3365005592004962, 0.22861299753273728, -0.060838773281198785, 0.3210568926708823, -0.23473348564433147, -0.044427202897622274]","[0.15365776832617123, 0.44458884926997744, -0.4193573638535754, 0.6636433901764048, -0.5406543346910646, -0.11338932427484996, -0.24003337598618846, 0.04730803072338436, -0.5289794241137689, -0.6624072622696984, -0.5159742928721505, 0.8582783275849856, -0.47109719106950854, -0.5307168384808337, 0.7249776824882539, 0.5229952633507313]","[0.5223594454013866, 0.3428823856219933, -0.4057000497223196, 0.6621632651278389, -0.49810391222658157, -0.2453645582130965, -0.3241186626289548, 0.12510705875064532, -0.4155639202016622, 0.6545982638163999, -0.3735253727128381, 0.4275528793976456, -0.33613595322384443, -0.6772126797286667, 0.5694351837183825, 0.4453507438044866]"
ceh-5,"[0.722345319241591, 0.34703144822672405, -0.1633837074925958, 0.25025257508913745, -0.2287764114583561, -0.343669716667491, 0.07261092560610727, 0.2737442464301654, -0.4257464015897532, -0.5155585001277183, -0.3782123820059139, 0.6106521511835016, -0.37584347421974973, -0.41523691585292705, 0.38342607526328054, 0.6273063099011299]","[-0.17095173499162386, 0.28757539464873616, 0.3844758000565049, -0.39212264552420784, 0.49100372375689627, -0.30403748844647355, -0.25075097645602357, 0.7539734600332055, -0.14727158327615458, -0.3642543888697552, -0.2168958471729596, -0.015096336434008567, -0.31335702023182366, -0.24032231686532934, 0.3690326125335373, 0.1288946677733846]","[-0.48926044989349154, 0.26952988058747257, 0.2121756580218096, -0.1218760090483105, 0.522455881422011, -0.28769122606646036, 0.4463120560331484, 0.11045147463665154, -0.3276589465472718, -0.13080327562496685, -0.3034579052175707, -0.37513803050898314, -0.11616074229122621, 0.03897228777202749, 0.1087590466524145, 0.32701546459751596]","[-0.6435852559762061, 0.18901059044633714, 0.0038821826465495063, 0.17258994252378346, 0.4470556678445249, -0.3798004978638594, -0.34058019504034587, 0.8010598655468444, -0.1511145490723908, 0.20325845156196906, -0.23295438779814565, -0.20572722728414558, -0.263898155775957, -0.34972418688278784, 0.08554184441013139, 0.3471432424193941]","[0.35321225912900195, 0.6570542107468256, 0.019609716284018697, 0.6443479196423401, -0.0892685850555393, -0.491924613682722, -0.40130929937807075, 0.07739136085811543, -0.6015244498650343, 0.6161848781751267, -0.49426504517803693, 0.4871196877847843, -0.5412576413180266, -0.42429823363843505, 0.608612518479227, 0.4714004925466081]"
ceh-6,"[-0.08722809050203041, 0.6173080751984279, -0.35692140086142654, 0.8531511930166958, -0.5854424072091734, -0.07949422206310412, -0.1720295790170626, -0.15237197428643173, -0.43703670017956775, 0.1953860718659809, -0.236444746713462, 0.5401914090766076, -0.4237427150617213, -0.49396653836788473, 0.46324928992133757, 0.3462680932056408]","[-0.29963394282963046, -0.5770254413068989, -0.2779098968452334, -0.17986687410268865, -0.035029388739186595, 0.5172488888233187, 0.6209700578430364, 0.07357674016377985, 0.5316960124447943, -0.13656882568382042, 0.7190940049452068, -0.3406656828121172, 0.5107000897718671, 0.053481467216876175, -0.25996803814578257, -0.37057328728624284]","[-0.4062710285644775, 0.23849231146433655, 0.4515251524286546, -0.08041214090058801, -0.33986847792508235, 0.31350539148670137, 0.007611353215314476, 0.03590616761977804, -0.21037997844416467, -0.08956848719866307, -0.35176172678194456, 0.4660872842022337, -0.12482601375096695, 0.26942321593414315, -0.1586857116593252, 0.044302911571639]","[0.507482220925574, -0.8466486691875111, 0.026271252396108905, -0.4893054013848894, 0.472192816575158, 0.6676983993873272, 0.2681967707072183, -0.41841901727407765, 0.8224298355948426, 0.700380554753976, 0.758631348347703, -0.40462769349322114, 0.7446710782587445, 0.4183449249130767, -0.4823381624772661, -0.6004549016444353]","[0.5428704125137166, 0.36192357991132434, -0.06113741453066343, 0.1571744386177047, 0.1449983845588095, -0.48939551756394883, -0.2386267148307222, 0.33950194630973257, -0.4966973292823179, -0.10221858755139898, -0.005872005319972366, 0.2728933569761137, -0.46184142634310243, -0.339191265178221, 0.1199831542953076, 0.42087648289002993]"
ceh-8,"[-0.3143630680301054, -0.05850738485536672, -0.5189069721990975, 0.3106713858308787, -0.7449703622288408, 0.6004403985876398, -0.3638230416256826, -0.22921874144886253, 0.3120854668815609, 0.4536612751647281, 0.3958161883208856, 0.020577983620727658, 0.16811408143220558, -0.30575491702750485, -0.056796026458785925, -0.13094597348564452]","[0.43439061701346326, 0.14868132203968015, -0.12283388651068147, -0.008044731388837656, -0.1371632111493042, -0.3041027559146871, -0.04882543388016833, -0.15048470331661118, -0.3636884875710421, -0.3788878907965854, -0.22181505254780637, 0.11989321338693987, -0.24968134663164526, -0.11225762857304877, -0.11211934224623415, 0.22317599632851398]","[-0.3031948998042494, 0.3137195995566009, -0.07921225412162133, 0.08059918257218318, 0.7096269195287974, -0.2850778143516466, 0.5495564781089225, 0.1257030713229911, -0.37592308527324153, -0.23087308169144577, -0.31655038800223995, -0.4070079926996131, -0.20506894093715217, -0.23839854638626407, 0.33572419219363403, 0.37253733518748067]","[0.5905794593977309, 0.09406665375340503, -0.4836076421126665, 0.3417492753330756, -0.6473334562332845, 0.4123043150953439, -0.2316753235539554, -0.2297121549787139, -0.08005238915297758, -0.06353799651290196, 0.06715028362697953, 0.37933489086818056, -0.1597328500391502, -0.27625404920031904, 0.37890150203006107, 0.0013558632535779491]","[0.6496275816232834, 0.33542521792119456, -0.04370163046251546, 0.17734918523938026, 0.07182179426697513, -0.541578797454003, -0.32027568792826244, 0.4483856472232549, -0.5070031895875288, -0.3182150952344947, -0.20169996834739057, 0.37571825238959455, -0.4996147254647466, -0.4304188822020365, 0.08816608456517841, 0.5198488141009798]"
