,BWM_anterior,BWM_far_posterior,BWM_head_row_1,BWM_head_row_2,BWM_posterior
aha-1,"[-0.8564893891269891, 0.8765651421200821, -0.25991773060625195, 0.7373431803404875, 0.2378613798207917, -0.22793429113293673, -0.31741105293086264, -0.8905535109990179, -0.45269179843752005, 0.1511522623536378, -0.7862862162997394, -0.7417716544538594, -0.8659815864166854, 0.898815995788553, 0.8062823532888767, -0.6441250697189924]","[-0.030320579868813813, -0.1062061501779043, -0.17323428804347046, -0.043885861295899456, -0.34007318307625256, 0.5833461460205182, 0.5492423526792903, 0.5593967435738426, -0.23752081458071012, -0.3284506168376348, -0.5157753341075325, 0.5170110211827872, 0.014423122428351254, -0.1538851385135656, -0.19748164695011572, 0.4474390744622472]","[-0.060300506987475494, 0.04400364845959706, 0.40502258840213806, 0.17626688386586664, -0.09795741618004758, 0.49337848202634593, -0.2737343009282709, -0.3395996076394234, -0.43972816344555243, 0.5733474710605402, -0.6023150304095531, -0.19260608055664089, -0.3254529834042808, 7.589047581857411e-06, 0.1786692906201415, 0.1467210266507802]","[0.2847201729735662, -0.31126068355581404, -0.3386565484400042, -0.2387163720037902, 0.23156972351242427, 0.33958835308800495, 0.3170822288318679, 0.08407057223829288, 0.12685998371959703, 0.038162489229008265, -0.26372316041986194, 0.2838706770038612, -0.07557090254078443, -0.379235038740723, -0.398767069659004, -0.10462118362778086]","[0.3589979321973852, -0.4019905696960441, 0.24472481345779012, -0.1593795999276593, -0.3333743334845879, 0.10852880381027083, 0.1852297641159601, 0.11195737540883574, 0.32966230832646315, 0.40692151929132414, 0.3608303760716891, 0.064282060209707, 0.15814881597420496, -0.30733471448407845, -0.7411813446279581, -0.45289515861433893]"
ahr-1,"[0.37067821018841063, -0.4623423666733954, -0.28613173367329575, -0.44987040689805563, -0.5621570428652705, 0.3251572742574263, -0.11665653839740955, 0.7110868041203939, -0.3305701331983001, -0.43928320543270216, 0.2524170771528031, 0.8288249835111997, 0.3802773827890299, -0.501386279675428, -0.36451781254970195, 0.14882679561710985]","[0.12103420010490126, -0.22965321715796388, -0.03071739252245547, -0.2316853182755419, -0.18215987656030974, 0.315879388022709, 1.0, 0.6005380077365682, -0.1866290335511967, -0.2778744980028333, -0.08314313493265006, 0.5894590112925239, -0.21539542084089439, -0.24452051025653687, -0.1774020047802825, 0.4508738109386605]","[0.39828472340209276, -0.3942156767144443, -0.6640890118505336, -0.42692924475806693, 0.29732503013856193, -0.2075539829192368, 0.8016826876316248, 0.44935391182700146, 0.5380419070104712, -0.3581170816959317, 0.39738218452272656, 0.37808199188895447, 0.03456567431138441, -0.38570647404445413, -0.4368926057958952, 0.11582605651885607]","[-0.43811875048835835, 0.47576424376583837, -0.2709410613208387, 0.5331625229090292, -0.2203260292032102, 0.27317527564143895, -0.2529750949031546, -0.43649750289534384, -0.2667979461883434, 0.5826406049732681, -0.6438718924645864, -0.4433632526557636, -0.2768934521561388, 0.38303920139234804, 0.38802812767668104, -0.509052936997169]","[-0.21341182448365448, 0.12443830859071664, -0.45230071203262223, 0.42491096362252534, -0.46122535249327673, 0.8337301159287349, -0.20926949718079704, 0.21488759830963977, -0.4448860419320113, 0.32335973392464445, -0.4862070242985229, -0.08847427253183979, -0.4552626841797942, 0.006226342587714748, -0.14326473753630253, -0.3774706655278955]"
atf-2,"[0.056656790823340714, -0.13731741532447872, -0.41628187285408674, 0.15567919610153927, -0.592991824819793, 0.9310425918073408, -0.2381894645058671, 0.24326767850126318, -0.5087181743230325, -0.18857699056647945, -0.4084272590276331, 0.19330705798515596, -0.3288961382947247, -0.25400258461178915, -0.35037681226267137, -0.2171135104785707]","[0.021731889891978245, -0.15336668044512414, 0.1099076586838821, 0.11202478878359229, -0.4346000485058585, 0.9386354835628642, 0.18713397266811302, 0.5071582041702709, -0.3979488548696897, -0.03325495882492428, -0.3144652338320607, 0.2745327569688589, -0.35717869119420403, -0.24316772536767178, -0.3187039746577527, -0.17143179535471836]","[-0.25653455098366956, 0.159745814020305, 0.13735361173586563, 0.22327791014447843, -0.4245534828137426, 0.9070112557545004, -0.014125697227988412, -0.14658587680284954, -0.5897998528844118, -0.19975932977829888, -0.7153532446504307, 0.02809055964503556, -0.34871258250014703, 0.04413166987522145, 0.3433015701085429, -0.05864532428479047]","[-0.3734692953690336, 0.302498584686716, -0.6918023730520425, 0.3566616886195246, -0.6615524721718923, 0.9261293385664321, -0.011967215569916687, -0.265231930171226, -0.6120947417798287, -0.07021136813908825, -0.8195188443910207, -0.013250733173002079, -0.49940179522073097, 0.1693895066489546, 0.10850118541084208, -0.45007813815383635]","[0.023074768816221045, -0.12891917109043324, -0.5776879959339468, 0.05951855711119479, -0.5662951710557924, 0.8917417057929807, 0.24871780563477913, 0.5391823597184028, -0.4923972504135187, -0.16739941349736867, -0.4422335408629254, 0.35845796020083537, -0.32319125797708403, -0.2588507537733166, -0.26100771195818995, 0.04772339926241894]"
atf-6,"[-0.751614495473977, 0.7810263952051633, -0.37062170384196025, 0.519892338268847, 0.16926755726724496, -0.45240160824607667, -0.6416259109970207, -0.5438794363019366, -0.01992988728886108, -0.3978327809290694, -0.32376082224909664, -0.5295338490654282, -0.31218326419265996, 0.7885640810785757, 0.7340279858036363, -0.5682286863524529]","[-0.522863736404909, 0.39676507793420024, -0.07339536076163902, 0.39073417290877477, 0.04130278186646687, 0.4895187224077365, 0.6989074844742881, 0.16312968075629317, 0.22707593853971378, -0.0009403171229322715, -0.6537393186216033, 0.029019497337769515, -0.6107284816080487, 0.34721927708255895, 0.27136931519800295, -0.049507148279121324]","[-0.9040850318499343, 0.9270012133291747, 0.6286152442435539, 0.8609300971489298, -0.7782774713262289, -0.13206362490726195, -0.16075908392161123, -0.6879211953231553, -0.3011308304180881, -0.25836537265493453, -0.3508371473371905, -0.6999409606185326, -0.5007906825285328, 0.9362496071489292, 0.7891370932027661, -0.30515850213261214]","[-0.8527846011520077, 0.8445917632527349, -0.6298297788757666, 0.8843855137024363, -0.7454390784462696, 0.4810133993172312, 0.012451378649008998, -0.7021948523956615, -0.5449331742778092, 0.67350884121523, -0.8254099280910117, -0.5127624412544615, -0.8016735722862618, 0.7586326385245148, 0.7313657792288368, -0.8649449266627309]","[-0.7367667531097818, 0.7577066876251966, -0.16007094425696322, 0.6350121505698988, 0.44710229356445425, -0.06990612865840218, -0.23557785701322717, -0.4420595581053493, -0.4935700093543157, 0.2525594327159973, -0.6704915365832831, -0.4788536710592501, -0.3249485262144624, 0.6908138051930279, 0.8295759559991026, 0.29671591572454237]"
cdc-14,"[-0.8894351661529631, 0.9294559191419398, -0.2714353847275337, 0.683871762398867, 0.3185589779190324, -0.4994438121878529, -0.492715213427983, -0.8219553872048141, -0.1596045602532729, -0.1110147483695118, -0.5460148449810474, -0.749058759350842, -0.5947819487446245, 0.9604642569582046, 0.8912198116785646, -0.6300312939964671]","[-0.8600779768783202, 0.8330923541570483, 0.024672844500026048, 0.8574567259326071, 0.3050556322636756, -0.003960921709557613, -0.060765910923002514, -0.5446206873606564, 0.4653570009313409, 0.6631357176214356, -0.6644778956433526, -0.6728955954109441, -0.3519100807429312, 0.7952320462488939, 0.627551192794168, -0.2715779041922846]","[0.19565351004609316, -0.2427457701082607, -0.23701962346067837, -0.11191738489652281, 0.03099280735985687, 0.4884184451229322, 0.7176224879080396, 0.11346473148146007, -0.08569063777764373, -0.0704630084973002, -0.3343519237281119, 0.20924826430081836, -0.3616757773799857, -0.3253818911662108, -0.15582594453229456, 0.30404836347910136]","[-0.49621680499029186, 0.38524842060921727, -0.6086734688933911, 0.31701530255010596, -0.5842434433801696, 0.18350122947315123, 0.6241808853534155, 0.11785753065843851, -0.5526082643317076, -0.03921528114837397, -0.08445762581111282, 0.320276850013409, -0.6199295791467239, 0.3322988520164597, 0.2889158974890783, -0.11285640981048087]","[-0.8947851131321339, 0.9386200074803708, -0.20466382879369333, 0.7446548694899444, 0.6058735787242563, -0.2249119211424196, -0.35411564630486914, -0.7266780083735642, -0.37244366217452424, 0.12621633081512137, -0.664835813359713, -0.7098548809883911, -0.5997539109647062, 0.9181074503539527, 0.9369670696325243, 0.15150321824756116]"
ceh-1,"[0.7340878179328487, -0.6695456067485579, 0.8355170680925621, -0.6967556866888381, 0.45533978543925996, -0.299907340155063, 0.8652139376021875, 0.23996334952026768, 0.4549744092827944, 0.757086747237699, 0.6282413480211408, 0.2655985889981378, 0.5688920484551692, -0.5756908018576773, -0.3905652966586425, 0.7130448508930044]",[],[],[],"[0.702362494708754, -0.6015827630611864, 0.8145224981989468, -0.6369040809623454, 0.27122187456947994, -0.4574447560568153, 0.16401907518673076, -0.05890416853990942, 0.9746017917714352, 0.1529923214493778, 0.8994032179425766, 0.0725526692119075, 0.2249456544791485, -0.513260899090238, -0.32196183681008117, -0.4805553438495676]"
ceh-2,"[0.6516578949531231, -0.5703057252583155, 0.8710353676623684, -0.5919743853340199, 0.5180891235258142, -0.3550219661874347, 0.7971302655799343, 0.11597601908582317, 0.4741630464392045, 0.8085518073478042, 0.5777078956650947, 0.10356177433932272, 0.5456057578189499, -0.4753110044333121, -0.33211682424931066, 0.6010485521708311]","[0.406073601425865, -0.3987956067974509, 0.4204193381925835, -0.30881537945950305, -0.08545388114374274, 0.33514087981187624, -0.14710586734254116, 0.18786040035300283, -0.3300300129272128, -0.20360369455120922, 0.29770381992589745, 0.15504498789004992, -0.3078563385492665, -0.404148267211899, -0.30094545001806217, -0.3982367317843636]","[0.04688999614730992, -0.11262380478901562, 0.17237953449385926, -0.005111899619924885, -0.01155919879830404, 0.746138020777279, -0.3611612162323644, -0.02526135313541573, -0.3968778228389165, 0.07035198553993899, -0.5179248232373602, 0.08387765245480197, -0.01850353281945845, -0.19941195919568103, 0.15603890817518087, -0.18255231035447986]","[0.6433481895359472, -0.6077689578230322, 0.6865688438001292, -0.6111694386449921, 0.6426448256139699, -0.19349830335268622, 0.07297561345859713, 0.32556606445225456, 0.3056446108610665, -0.3853631599177928, 0.4225417214077021, 0.1967813148247728, 0.9053094405756719, -0.5571169962464773, -0.5358584878821823, 0.5043347716765378]","[0.49787127795194674, -0.4042620092343992, 0.8353667438095895, -0.5583247162950052, 0.45009383058794294, -0.5069270604472593, 0.3413807422534301, -0.02148620596865443, 0.5820149187460061, 0.17794793393074837, 0.5298135758864768, 0.15499457991008975, 0.49918198069175923, -0.3493447517412208, -0.03501351351606849, -0.014948209059584772]"
ceh-5,"[0.4178597308830122, -0.3961884799733104, 0.16573699416528362, -0.469744182795554, 0.09049362456598278, -0.20447943812471064, 0.11854150607164929, 0.4946987612526318, 0.7138572292422004, -0.3195383414945965, 0.6903105043446478, 0.3361664508712865, 0.6624430113174147, -0.3885893607505757, -0.2815186369497869, 0.5083688166951853]","[0.08142643866171452, -0.19684400447425926, 0.04409526730591766, -0.15808662032636128, -0.2004373675415752, 0.35295264873041743, 0.9936908560876035, 0.5810113356440746, -0.21697592669744484, -0.17210657599571152, -0.12794900970095396, 0.5509278397504881, -0.2402215505758897, -0.21872308017977687, -0.17191709948165093, 0.4439526739993226]","[0.08683752446343784, -0.18689781991443535, -0.19536466439327896, -0.20827365712223467, 0.029501539165895818, 0.3340510727263314, -0.27580158639092217, 0.5013552899348553, -0.4163872727385978, -0.5370960919100211, 0.226205477859883, 0.520596521261646, 0.7028517015644655, -0.25685558940201225, -0.18396997422476552, 0.13179791343941036]","[0.07000908380066873, -0.17281570786753764, -0.36685981805105433, -0.2427280879534376, -0.11584003864073647, -0.1294037275559855, 0.5438875094411046, 0.49691998700576506, -0.03461653214914014, -0.3819448464946516, 0.40571172808050426, 0.632292618514398, -0.34087864282942915, -0.16107605859337853, -0.187873718150602, 0.3255485240442353]","[0.6283328732879954, -0.6102613415023301, 0.6213328104014783, -0.537558143630439, -0.004220720896688179, 0.007301281096547846, 0.4961586468042807, 0.30549325051357956, 0.4314863371211518, 0.34009214225414586, 0.4403716671186882, 0.342428890635817, 0.4118588246821415, -0.5935929816383173, -0.4452596630748631, -0.15578782704587602]"
ceh-6,"[0.5778193977503412, -0.48281931178145415, 0.9235742597882135, -0.46957407938676127, 0.6442024524177692, -0.3156325051267563, 0.8989420519117365, -0.046487923954158225, 0.5503725145364432, 0.934550585432375, 0.46063276748669557, -0.0916449384589715, 0.34773417717070626, -0.3870505750163443, -0.2652607447472384, 0.6322945570577314]","[-0.4939004196461878, 0.5135104012167809, -0.24926313719994403, 0.4084488098817164, 0.16534323008156798, -0.3440776381880571, 0.11535398410849675, -0.41732294472342657, 0.6789840561422096, 0.17899612840286833, -0.1475284015214688, -0.44578595889841527, -0.3221508361266783, 0.5425877428261284, 0.3324928802980297, -0.2228721000460382]","[0.08052680798120848, -0.13364726315346123, 0.0730739687109575, -0.0483544052237804, -0.05484791280024913, 0.7213335710145897, -0.1554658256291541, -0.08834965300409937, -0.3174122567176178, 0.2453912498562263, -0.5799177374818341, 0.06269683318048064, -0.2546345016996588, -0.20354018838498372, 0.10521164305395977, -0.05232203075146374]","[-0.6818636844102267, 0.7205911376768159, 0.14445542823389398, 0.669481173373211, -0.4729101083352157, -0.31457059815982436, 0.16098579115193173, -0.6409345668105974, -0.14713107098517786, 0.544424981195832, 0.040163612192041044, -0.6032971465139175, -0.37111134545753477, 0.8262765888057746, 0.835125032879389, -0.5374725445415429]","[0.41604910379085713, -0.45322912753727224, 0.07270037668064908, -0.385303900164042, -0.38966810296937665, -0.06480119050253051, 0.051030203518012296, 0.5233952320158851, -0.0915917870224716, -0.10196613497536713, 0.2911175738081307, 0.5214293777459356, 0.8747448726115681, -0.4481501249035344, -0.4193479050458533, 0.3230804557300486]"
ceh-8,"[-0.09909086436012138, 0.2034822717046578, 0.6005001487790351, -0.0988327077634637, 0.8620880414634418, -0.564879875663968, 0.38299435610518234, -0.5444721278477981, 0.30283250733864087, 0.7007076130015879, 0.010323252152385803, -0.4837217333513605, -0.12728195542247459, 0.3083122124368062, 0.6136523243386304, 0.15190558214067307]","[0.28733927723919894, -0.2715736590063639, -0.3212701641507509, -0.13112482274889825, -0.4818194812169153, -0.13377068877745393, -0.39329212072067954, 0.1457592873884035, -0.23443150751461472, 0.034594935542916073, 0.19511364156053027, 0.1677695883936396, 0.7670458967247185, -0.2704237883568413, -0.4249052395361649, 0.45214024136008707]","[0.22552584321670932, -0.2940645412677261, -0.29830166282236187, -0.33153257109554773, 0.21834740407206762, -0.024563391193367534, -0.18319692470478072, 0.6193698998925077, -0.20974447273066593, -0.4802018442937622, 0.5500445516787142, 0.5750476443349188, 0.876776796294379, -0.3243165374267542, -0.39048543954274306, 0.2664849278104329]","[0.3191002018945739, -0.21125639120030298, 0.38161123455135865, -0.15282421346960873, 0.4967515219165595, -0.514633918924289, -0.2677801201288757, -0.3280546429747194, 0.8492310253677625, 0.4065571324928491, 0.283585000414187, -0.3681535004261855, 0.05929735334296514, -0.07656498688326369, -0.03140065732404412, -0.19160489410794762]","[0.43632939966908796, -0.4581129817950049, -0.045863770577433766, -0.4886430612255298, -0.3847142451158376, -0.14774190565138562, -0.11628924145817557, 0.5527961763356937, -0.0952958400681311, -0.49987007102375747, 0.3379294119922273, 0.5911471914533951, 0.9127186475714258, -0.45477857436750013, -0.3579928880223518, 0.35085302732882]"
