,ward_cluster0,ward_cluster1,ward_cluster2,ward_cluster3,ward_cluster4,ward_cluster5,ward_cluster6,ward_cluster7,ward_cluster8,ward_cluster9,ward_cluster10,ward_cluster11,ward_cluster12,ward_cluster13,ward_cluster14,ward_cluster15
aha-1,*-0.07832879436704769,*0.05294292849553253,-0.23783285583382544,*0.08474166969886548,*-0.11211182302042368,0.23610651441039612,0.18935136460688667,*-0.06551325164341104,*0.01254719607593846,-0.16034200017129135,-0.3883245848033754,*0.015163108724277837,-0.1654260190063751,*0.024555699810460754,0.2685574609981956,*0.013374174638839439
ahr-1,*-0.0020333791198501837,*-0.05676319670070343,*-0.01982711104106452,*0.011500281793920123,-0.1703291780166439,0.21842803753672452,0.16108067830095396,0.31461530737599347,-0.16090345434181816,*-0.10191233005083442,-0.13885338401890407,0.20093392071683563,-0.14350241254700052,*-0.09239715834779282,*-0.08788970077525966,*-0.029326850003611425
atf-2,*-0.061779253736609946,*-0.03322520915667833,-0.24937365846023882,0.16109177414059878,-0.4759744274539583,0.8717741185650545,*-0.006448927695290864,0.2683810746105152,-0.4554034926517482,*-0.08284798081467348,-0.48496819049104267,0.18948418452924692,-0.351662326091334,-0.15970294147342254,-0.19250981754908733,-0.12532136734998447
atf-6,-0.6742052897280619,0.6743895166575067,*-0.009072252239818005,0.5348496487015085,*0.04129980741761183,*0.056565399936718344,*-0.08552707609496861,-0.27946291669015505,-0.1423413076844517,*-0.027702373238395337,-0.4713881879514612,-0.364695775016212,-0.4755634428368468,0.5865609513766675,0.4974256719532827,-0.24765826045852404
cdc-14,-0.7410788973695066,0.6911647926236738,*-0.03476596877872769,0.6426644603667219,0.3679826364522617,-0.19772888176096845,-0.13909800263134411,-0.43952220758969307,*-0.0971346385090526,0.4242121198522667,-0.5377144762406255,-0.5163694582676355,-0.4175488021327836,0.7772432966656814,0.6075235302097031,-0.20652963020629464
ceh-1,0.37187837673333607,-0.3366301340393977,0.3503907225475401,-0.3241090057503971,0.27482632162436693,-0.23791601455521771,0.5724821723161997,*0.03055889529554658,0.5211970593393253,0.34262337885286753,0.26349491882412496,*0.08851741426629653,0.17215772797328321,-0.2613086448562809,-0.1514737404347468,0.19446204785454696
ceh-2,0.4469293932994802,-0.4036332758142424,0.5042981541894708,-0.39517929747265673,0.2896823850289387,-0.1593719192414442,0.4898740178305806,*0.08166122188106362,0.36881298076392977,0.29420492840765394,0.2674260631698064,*0.09210079501279046,0.33981938278876567,-0.33854157173714294,-0.17981977327805132,0.19934853298514932
ceh-5,0.20113260061787552,-0.24680603803695186,*0.09145565892410622,-0.2769628832442486,*-0.06210612658461814,0.1567720688128551,0.2734439066104726,0.44202447742315787,0.137872290976661,-0.17844864203880006,0.23307069485615128,0.4390917530883785,0.19040511158519244,-0.27971936451919843,-0.17195154774550128,0.2548277890918345
ceh-6,*0.023256983342989916,*-0.028461783398208106,0.38616093617517966,*-0.0043505659504587246,0.2632145650453528,-0.2543140362257279,0.33642678879403676,*-0.017967203523571562,0.2591825348536024,0.5463301874635238,*0.0553328241692564,-0.13886487017364307,*0.016448982852609286,*0.07884299971964599,*-0.06031455670188025,*0.03205947947226368
ceh-8,*0.09242555586669954,*-0.045256304145819416,0.17131144264388742,-0.16565296887151643,0.29827160615546644,-0.28356060567287045,0.18959124656592852,-0.1256249519226486,0.2245123030666336,0.27352685071844757,0.1396909911566233,*-0.06864044257759154,0.22594857209951502,*-0.0004053204613155281,0.4461585170991547,0.17596307632336522
