,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
BWM_anterior:210_270,0.05806762277347901,0.031438636610755806,0.05547528936678315,0.1646542738450595,0.10640428700795242,0.08814246264512215,0.11093595329704747,0.062320598848080444,0.1603112252545179,0.011228804968694505,0.009687788285005177,0.00494602003543592,0.005789958155113143,0.015083363979506636,0.0036482899233566605,0.004672171344755428
BWM_anterior:270_330,0.05478288881512139,0.03802192818059086,0.055830235999694694,0.17162871101571645,0.11265603279390679,0.07786840006498841,0.13601820557053274,0.05951578423125458,0.14278729777014015,0.011324090848353221,0.009097075741752392,0.004783980636497805,0.005764015530708327,0.016917621976982003,0.003872359870736362,0.004245181812299278
BWM_anterior:330_390,0.05608855667193079,0.06235592191841938,0.07224413325370704,0.16253600261717016,0.1200507607603176,0.06492250760319582,0.14020501433293317,0.05550277853960544,0.12389938719674112,0.011154525827226303,0.008226536670933125,0.00493894705379042,0.0051417857538517825,0.02292397845923123,0.003809461038041322,0.004440013935269111
BWM_anterior:390_450,0.056077787214418764,0.09511973855373791,0.09266509895334751,0.1719983576972624,0.11942423646595203,0.05675159610170458,0.10892125170392913,0.06174651624177909,0.1087092027349409,0.009776689497906705,0.00631168714353211,0.00671835639912604,0.003775112702975286,0.02056364158495636,0.004979695084200068,0.007481812819356815
BWM_anterior:450_510,0.06922002450986285,0.10306535589394875,0.08780700446675821,0.1756722178540485,0.11550353020572095,0.05311388670480202,0.10234921585270357,0.07611783168665205,0.10146926929670799,0.008878212912000936,0.006539837343637414,0.006506575103333356,0.0032179213744759193,0.01255088521641696,0.007846582525221194,0.010342352610204213
BWM_anterior:510_580,0.08765719839208416,0.10482316425384089,0.06551868882371374,0.18040711582810762,0.11252444235626527,0.053788167988830037,0.1218006710510384,0.07225001619098687,0.0937968005000903,0.010433733408261063,0.006394936987897187,0.007377659495299787,0.002929562972077889,0.01013083121911896,0.005727989007023871,0.01141364009186022
BWM_anterior:580_650,0.0843675537643201,0.1137392121067489,0.05949477953388305,0.18637177100128688,0.10815654170416915,0.057687392262395804,0.12326635582512922,0.06567042317332142,0.09258993427425691,0.009449413144260274,0.006542794416158591,0.008713294512463747,0.003268923962539113,0.010300714354071044,0.006762055204455638,0.01266533898808118
BWM_anterior:gt_650,0.059725786049736385,0.13614045397959926,0.05460884984084072,0.20627819842157138,0.10352845990945744,0.06455191595718125,0.11262834964793113,0.06191877316572205,0.09215089103192424,0.010983250103436582,0.006914390328231677,0.008236172762418031,0.003011069561089915,0.008379248653250116,0.007221892189786627,0.010455366848506615
BWM_far_posterior:210_270,0.04904803598121041,0.030163509594495125,0.05466750237856074,0.17253324512154192,0.11010383145252761,0.08410828864988444,0.13015990808379757,0.06650880549189019,0.14478062915869822,0.010587533506912026,0.009153385717659519,0.004814523712316168,0.006204484899733236,0.01580740371734416,0.0044381305354942,0.005377348031128755
BWM_far_posterior:270_330,0.05040603955588476,0.038980118797432635,0.06351676883197659,0.17049573127600468,0.11710298114577426,0.07649972869088378,0.1383198361819284,0.06404462125910332,0.1363711516745528,0.009886861788245493,0.00890769804711678,0.004359629123150232,0.005562891582627135,0.01890193837857797,0.0037454921603618688,0.0045497765341018775
BWM_far_posterior:330_390,0.05147844856916345,0.07164923174547445,0.08549798539790958,0.16565678202395942,0.12420192002229007,0.06830270126190954,0.12774815923711264,0.05591925002929195,0.11227204113999865,0.009271357057066366,0.007641476121318223,0.004346785353780394,0.0043549387848448445,0.02793486274252431,0.003482320341662986,0.004496868881151965
BWM_far_posterior:390_450,0.04580132921557113,0.10800729712509337,0.10656587229910282,0.1693465779046427,0.12955880299524014,0.057245042321090615,0.09641277703610318,0.06153186673374121,0.10408873168810097,0.007625618542695139,0.005776974592446141,0.0059701645799496985,0.003334163207988703,0.023703072526179054,0.004259642913627163,0.006202516060490716
BWM_far_posterior:450_510,0.07280438029673303,0.10345798568073009,0.08891411362831823,0.16680799692596598,0.1278895969969673,0.05318542738451949,0.09475891323619735,0.08303330909472321,0.10143575944675458,0.007555184860584289,0.005786909335159465,0.007436782107669856,0.002768748531311679,0.010942471793620168,0.00731757252168616,0.00986635818748985
BWM_far_posterior:510_580,0.13843703503382446,0.09408590878382828,0.06682234329278854,0.17170412730438375,0.11452461908856754,0.051718469406048594,0.09823661024022007,0.07100565885042383,0.09207416568166005,0.008090018970873176,0.004817264811309193,0.008028740923505752,0.0029033640128714286,0.010138326329404451,0.0057786717957911595,0.011284884174361869
BWM_far_posterior:580_650,0.1462112759689574,0.09799212739504966,0.06004485963598464,0.18219930044234056,0.10409589653170918,0.05581257021338796,0.0959797400781106,0.05551931638757446,0.09223333894129397,0.009239975567917363,0.006547952011243455,0.01073165260526213,0.002951973789566237,0.01053932182547419,0.006968953965526631,0.012040919081986966
BWM_far_posterior:gt_650,0.14556793581450597,0.09987824846563045,0.056565677670419694,0.18814851658677015,0.10123167438584647,0.05676650076109923,0.09057435809637561,0.05196520608100432,0.09338091150152382,0.015000774893137774,0.005540283083474249,0.011708493315633856,0.0029697475227761783,0.012119673522510038,0.00793809050102724,0.012452553009181876
BWM_head_row_1:270_330,0.05972844070599728,0.045643774566673956,0.0601670642249117,0.18881053148281074,0.11434538944554215,0.07285053548074964,0.09975513128499142,0.0615461716053752,0.1440094102848491,0.01553265828948527,0.008650837827400585,0.008188210538078805,0.006301998293715178,0.01884749829779985,0.0036630963915777427,0.005113609946194238
BWM_head_row_1:330_390,0.05793936831057202,0.05760275294398022,0.06587901746829135,0.1884116248251225,0.12334495773049829,0.07121150237576626,0.11064304367694715,0.05730415224483131,0.12314816412225837,0.015790029043607136,0.008084586346254844,0.008614685336850076,0.005715740961034866,0.020351989741857337,0.003941388805191981,0.00416195411840275
BWM_head_row_1:390_450,0.055182385383061076,0.08428838885032694,0.06807018310777188,0.1915523519346034,0.11908988432053288,0.07198020664631813,0.11062284555427075,0.06121826740378066,0.10537652800778194,0.012354904368452192,0.006946362654432544,0.009865094261966764,0.004350675711783601,0.018944935322387446,0.005653081111181405,0.0068471031205292465
BWM_head_row_1:450_510,0.053398704434808514,0.08861150709138223,0.0657235966424083,0.19405099704271203,0.12393385007880986,0.07176416408138445,0.11035877367392752,0.06504890042874206,0.10218698474289771,0.010356175601977786,0.007004662786812347,0.009752098795748513,0.0039256967472239505,0.012059668183078005,0.010666138626097423,0.007911379866106004
BWM_head_row_1:510_580,0.057824988083549085,0.0901130950164257,0.05738405669192863,0.20134790374918846,0.12900760361912936,0.07120663514446231,0.1174521532923365,0.060930077606548914,0.097847913690077,0.011359660237586227,0.006789980109139854,0.008364576486357115,0.003931747574902577,0.009815643446466701,0.009469579417657702,0.0074405280034830455
BWM_head_row_1:580_650,0.06454782603705576,0.09075283111167802,0.05573295395569348,0.20555668369684596,0.12499064962715797,0.0701934880328819,0.11517655869834353,0.06015820981864152,0.09775722938611517,0.010427314304112282,0.007084235105271355,0.010071320566622024,0.003214313364494195,0.008178795035699547,0.009842884539934975,0.007542717990036807
BWM_head_row_1:gt_650,0.06180869821190764,0.09615928609376875,0.052359743576043574,0.21402972525860653,0.11763292743290746,0.07545806194055957,0.11181721677784487,0.061071464215470314,0.09933212426823503,0.010180442380722434,0.006338115491591823,0.011278278866597241,0.003303086543589351,0.006015014854564388,0.00995764911774876,0.0068096105553600945
BWM_head_row_2:270_330,0.06045369389628107,0.044084406804145694,0.061150231362571736,0.17327558992278486,0.12225732690235798,0.07010379367944022,0.11933570832910309,0.05811597475089568,0.13917646945918083,0.013597886243662847,0.00844199368317799,0.005114878171606829,0.005742014442924084,0.020568615001669364,0.004029310134948451,0.004312572071928732
BWM_head_row_2:330_390,0.05717368945793671,0.07347947760913416,0.0659517314979215,0.16969641242578967,0.11850547271443969,0.06688596898034752,0.12169282989527856,0.05653355077726613,0.12391667006757051,0.012315550266077693,0.007694097939413241,0.004878149541970947,0.00517505596951881,0.02262144209888478,0.003959955635501586,0.0043873163900470065
BWM_head_row_2:390_450,0.05127430783133502,0.10618568515621453,0.07365860315074994,0.18324443443143257,0.11484837756621447,0.05850814076917778,0.11164384612353563,0.06514089220147129,0.1068119328765916,0.010341108490549483,0.006345996952581938,0.006164920522386452,0.003532594609677522,0.020603108839668052,0.00493969683634611,0.007531014853180201
BWM_head_row_2:450_510,0.04818585371439375,0.10694661284995573,0.06573546187597716,0.19504299238522105,0.11910484875264932,0.059874218709151605,0.10833585312730604,0.075614994481877,0.10527426581667065,0.010847675418555925,0.0061455542053094996,0.006776397547318016,0.003407517472885327,0.010690917973405226,0.007129051620467545,0.009243671419936435
BWM_head_row_2:510_580,0.046629405352703476,0.11135534014240729,0.05561387982766632,0.1996943725085566,0.12202856408919399,0.06050911180242741,0.120616188499109,0.07024240191530332,0.09977986052614272,0.012736734786026915,0.005467677438143414,0.007082080719557987,0.003311233860891611,0.008368896099481667,0.006922781884944623,0.010943739025477007
BWM_head_row_2:580_650,0.05597352443753731,0.10402965639502533,0.052274487998544276,0.20737222861341464,0.1162897576177187,0.06425393349098199,0.11890359866169717,0.062276157529921224,0.10054828789861583,0.01087010985029598,0.005660177944050209,0.011021442828084722,0.0035985196957030565,0.008025212155243292,0.008966884652422027,0.010380610553507467
BWM_head_row_2:gt_650,0.05937382587173294,0.11783587910692957,0.050139008704625176,0.21109935937490684,0.1096184082500623,0.06574370692505714,0.11274217666243935,0.06325004664941992,0.09756926971608562,0.010896213400663407,0.0060359853675898524,0.010299545346216488,0.0029795012295544456,0.006583149976950591,0.009407271005397795,0.009435760743182088
BWM_posterior:210_270,0.06838199257577507,0.031645326610012695,0.05765835780132621,0.16277802146375356,0.10465328756950913,0.09835369239199875,0.1106486326536438,0.06000571712762181,0.13793183511353646,0.010352745166072104,0.010354755407851924,0.004429467249743996,0.005502031751366864,0.016236119783070792,0.003582954436261867,0.00436895897217142
BWM_posterior:270_330,0.05010285356143417,0.04273875295579386,0.05684912149443575,0.1652638782680288,0.10813534452712158,0.08543653079190079,0.14543021721722435,0.05985433094492133,0.13552365551766055,0.011136817126838635,0.009902454169228447,0.004370111725826959,0.005270462338605366,0.018443813042450727,0.0036289529594605795,0.0041290698237078025
BWM_posterior:330_390,0.05050009776377387,0.06986453707250384,0.07352116265167408,0.1598176264878925,0.12233924269936997,0.07908738719102239,0.12828991125934164,0.054019393287635435,0.11885831144332987,0.011262466884524956,0.011133250421105438,0.004408685429832054,0.004623845866595721,0.022560393170639452,0.0033675413051944617,0.004126312398530017
BWM_posterior:390_450,0.05174185166802977,0.10268558524403054,0.0996567831774175,0.1674584576427971,0.12623928417781968,0.06201191267378075,0.09557353970081589,0.06023037045680943,0.10587365033352585,0.008882369232787951,0.00837092458194709,0.006252826543035824,0.0036920974990196313,0.020891301985228608,0.004118101043873958,0.006725206678830089
BWM_posterior:450_510,0.08054606038046275,0.1056049393725486,0.08795982852072827,0.17273425472296938,0.12294564796449775,0.05218324454934087,0.08571308333537905,0.07659634587030438,0.10173287850011248,0.007098945263203249,0.009508913385132486,0.006791737452549871,0.00302789068171377,0.012357649609752898,0.00719894310894104,0.009943072368681439
BWM_posterior:510_580,0.1274728775026328,0.09980555176993451,0.0672346703923868,0.17380496529416214,0.1151506642610857,0.05076507791677865,0.09819003380565172,0.06964961785744465,0.09046318539839908,0.00901039137924771,0.00912860980153154,0.007103943698325855,0.003028719851040774,0.011868808460665679,0.0048968318466379905,0.010297246072749892
BWM_posterior:580_650,0.13588321174347145,0.1040699261122212,0.060617584454101515,0.1823088159761189,0.10315166235426525,0.05160129098324363,0.10706019543470455,0.05918962141570208,0.0859321791017861,0.01042875923597235,0.009090157098073186,0.008892214652933533,0.0028538128122599943,0.01219041680822185,0.00605571048356323,0.011581897252675593
BWM_posterior:gt_650,0.11524721400007668,0.11694552747094493,0.05530447723373355,0.19188295524658194,0.09902779705214403,0.057633469213841666,0.10410492509900203,0.057762181167458675,0.08640376084453556,0.018271864402208446,0.008548224766293204,0.008404920761640658,0.0030584938970507646,0.010439757119839079,0.007631642691591364,0.010540190684897538
