,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
BWM_anterior:210_270,0.0768082536684125,0.0576655745668298,0.0164618870202176,0.0054246248373802,0.0188979804188604,0.0268597654644826,0.0175927862909025,0.0467554023840873,0.0070287830607992,0.0327399978656949,0.0112744968496809,0.0192790486889859,0.0113001165798588,0.0044111325191638,0.0051144647181012,0.0210531645712618
BWM_anterior:270_330,0.0746602482260907,0.0542011183055573,0.0164116779611748,0.0050497239494925,0.0187244361043092,0.0271008095705255,0.0196402638882183,0.0333480311856238,0.0067100937784411,0.0414960236666807,0.0113534398082881,0.0181469727799916,0.0126339759987611,0.0040500563039262,0.0048811427222893,0.0186088432723469
BWM_anterior:330_390,0.0789923013447855,0.0521993624954949,0.0147364068521617,0.0044182776400032,0.0165106695159577,0.0247809792792004,0.0208591305762361,0.0259301982450295,0.0057038242457255,0.0522572591713643,0.0100928530460162,0.0160901673614601,0.0161061941229464,0.0031718964326632,0.0041603469473326,0.0134479553959201
BWM_anterior:390_450,0.0779997642119635,0.051734439366866,0.0116512745024486,0.0037663983617839,0.0151067611969017,0.0226333477003104,0.0205664462005121,0.0241194934503712,0.0056246564971974,0.055930845392262,0.0102396513942996,0.014496456818987,0.0252618734651616,0.0023559772317302,0.0046134924244829,0.0088862240589337
BWM_anterior:450_510,0.0724867371826161,0.0454740911193024,0.0083357979451149,0.0027138782089045,0.0167834051076374,0.0243192060984513,0.0184009318236283,0.0283655776689341,0.0051350086281449,0.0562647826613158,0.0311362621737795,0.0141566899983248,0.0294713467841024,0.0020903113906742,0.0056142053009591,0.0071366541071653
BWM_anterior:510_580,0.0691355139341039,0.0398193689256143,0.0073003249058408,0.0023764547249724,0.0197092581470833,0.0235408903876223,0.0176370129580188,0.0299486997129066,0.0050164906709746,0.0649661839674233,0.0564540491747423,0.0145902916026904,0.0357428605793114,0.002165267939714,0.0045372977987096,0.0068997739698006
BWM_anterior:580_650,0.0684844718540619,0.0402263796975008,0.0067979929763864,0.0024259005541281,0.0190148164569152,0.0242521410230474,0.0175616585160607,0.0293815513245895,0.0052459052139246,0.0627050522450407,0.0519033290086868,0.0144810040609682,0.0403045140668111,0.0019064180418921,0.0036467753118005,0.0073895529300792
BWM_anterior:gt_650,0.0600213480561865,0.0405861983167434,0.007269955165844,0.0023659126445797,0.0165617932529093,0.0222287722783277,0.0168622121495715,0.0318677768303469,0.0052986648509992,0.0467932028226222,0.0274164369509374,0.0143472536866073,0.0521611795443569,0.0017364394360462,0.0032765795593525,0.0071482293549027
BWM_far_posterior:210_270,0.0818331830686222,0.0501218309354031,0.016495625173329,0.0052254187563247,0.0188263170961695,0.0282180885219046,0.0189675528097987,0.0337258778228353,0.0078541180349229,0.0301046950080338,0.0126115421658718,0.0187412730200341,0.0122449346063513,0.0045045113208999,0.0052713203632542,0.0222118380345153
BWM_far_posterior:270_330,0.0848333683895649,0.0496748810749988,0.0168230737102973,0.0046332485354229,0.0184847792672825,0.0265497214887869,0.0197336449621382,0.0297347157341407,0.006532713691839,0.0333675056255709,0.0125814705817948,0.0172559026557757,0.0128489626871113,0.0040759649453755,0.0047668439165987,0.0192114176036926
